TC_Horas_RyA,Cantidad_RyA,TC_Horas_Limpieza,Cantidad_Limpieza,TC_Horas_Pintado,Cantidad_Pintado,TC_Horas_Test,Cantidad_Test,TC_Horas_Encajado,Cantidad_Encajado
40.31,3102,2.65,316,8.51,289,3.31,302,2.59,264
48.11,3435,2.48,353,7.73,301,3.13,343,2.91,313
50.76,3860,2.25,305,8.42,265,3.16,294,2.89,277
43.37,3270,2.97,340,7.46,262,4.13,331,2.87,288
43.12,3106,3.02,365,8.63,279,4.18,347,3.09,306
38.66,3071,2.65,297,7.48,268,3.35,283,2.8,266
48.69,3700,2.13,343,6.89,266,3.3,335,2.63,293
39.25,3020,2.31,325,8.04,312,3.19,312,2.75,274
45.86,3614,3.46,309,8.28,268,4.01,294,3.43,266
40.93,3121,2.77,299,8.73,341,3.64,291,2.48,262
47.51,3466,2.86,311,8.55,307,4.22,299,3.23,274
45.23,3214,2.77,351,9.07,304,3.82,335,3.28,317
44.66,3330,2.82,287,9.14,339,3.41,281,2.92,259
47.91,3458,2.32,373,9.74,339,3.49,358,2.81,316
41.62,3087,2.4,290,9.21,311,2.97,281,3.0,267
42.77,3372,2.82,322,7.34,272,3.94,307,3.08,283
42.31,3099,2.85,295,7.94,258,4.37,281,3.1,257
54.35,3871,2.92,335,7.84,261,3.51,319,3.5,289
49.79,3663,2.87,345,7.28,250,3.68,333,3.04,291
39.59,3130,2.25,330,9.44,307,3.15,315,2.72,290
50.34,3661,3.37,290,7.34,250,3.96,277,3.58,255
43.25,3308,2.71,350,7.92,283,3.94,339,3.75,301
53.84,3769,2.66,316,9.22,345,3.26,302,2.96,275
45.47,3343,2.98,344,7.88,297,4.42,336,3.54,313
47.79,3491,2.92,351,8.84,338,3.65,338,3.24,308
47.64,3413,2.94,334,6.68,250,3.72,325,3.09,305
50.5,3805,3.25,337,7.2,265,3.84,329,3.15,308
45.22,3385,2.95,359,9.58,310,4.37,351,3.11,319
41.48,3191,2.79,321,9.21,313,3.88,308,3.31,282
54.41,3955,2.26,356,8.97,312,3.38,345,2.74,302
45.22,3276,2.56,308,10.31,318,3.27,295,3.19,271
44.08,3160,2.95,307,7.68,271,4.61,300,3.22,270
47.92,3459,2.76,367,9.95,342,3.36,356,2.56,319
43.83,3313,2.53,349,8.31,316,3.4,336,3.18,319
40.8,3021,2.61,296,8.17,325,3.91,283,2.77,253
46.03,3252,2.58,343,7.73,275,3.58,333,3.16,311
51.65,3747,2.76,371,7.98,265,3.99,357,3.09,311
53.21,3856,2.93,305,9.86,300,3.87,291,4.04,273
46.26,3560,2.47,345,8.54,335,3.56,332,2.69,304
45.05,3474,2.46,282,7.81,306,2.94,274,2.97,258
42.78,3058,2.82,297,8.55,278,3.25,290,2.52,252
43.89,3510,3.07,324,8.85,327,4.15,309,3.45,280
50.66,3681,2.88,328,11.09,341,3.9,321,3.16,289
43.56,3475,2.31,316,10.04,318,3.26,302,3.29,285
49.91,3699,3.02,320,9.2,296,3.94,308,3.49,273
56.52,3975,3.25,288,10.41,343,3.71,274,3.63,255
51.49,3782,3.26,376,7.78,311,3.92,360,3.35,315
41.77,3189,2.81,285,8.6,318,4.16,271,3.79,253
51.52,3957,2.69,282,9.6,325,3.33,273,2.74,255
48.94,3686,3.14,331,7.09,265,3.77,317,3.36,300
53.13,3957,2.68,353,8.66,339,3.49,342,3.21,311
47.16,3562,3.18,351,8.56,339,4.02,339,3.32,306
51.04,3875,2.88,346,9.71,297,3.82,333,3.49,315
50.36,3566,3.15,304,9.84,334,4.02,290,3.16,257
44.0,3243,2.8,317,9.27,288,3.85,302,3.32,275
52.9,3831,2.58,346,10.46,349,3.49,331,2.46,300
44.91,3504,2.82,333,8.9,282,3.65,322,3.17,294
41.9,3130,3.65,331,9.41,343,4.05,320,3.25,293
43.64,3484,3.37,293,8.03,272,4.35,281,3.09,254
51.6,3818,2.34,350,8.02,259,2.87,340,2.92,319
46.65,3646,2.49,301,9.74,318,3.41,294,2.6,275
38.73,3020,2.36,373,10.39,349,3.06,361,2.97,317
53.7,3840,3.2,316,8.68,283,3.93,307,3.05,268
42.17,3166,2.88,302,8.72,301,4.0,293,3.57,269
42.53,3273,2.45,290,11.34,344,3.43,282,2.76,261
43.1,3387,2.77,338,7.9,259,3.76,330,2.99,296
49.14,3600,3.3,279,7.86,268,4.08,273,3.14,250
45.91,3315,2.98,291,8.52,307,4.03,277,3.19,263
39.07,3013,2.9,345,10.55,345,3.46,334,3.27,313
41.5,3241,2.88,333,7.98,250,3.47,322,3.42,287
51.38,3776,2.59,333,10.34,318,3.67,320,3.26,286
47.14,3345,2.63,282,6.42,253,3.11,274,3.16,260
44.88,3564,2.85,285,7.76,265,3.78,271,3.07,252
52.68,3897,2.86,317,7.62,273,3.7,303,3.51,282
44.41,3339,3.01,292,8.39,329,4.51,285,3.1,255
39.44,3091,2.84,326,8.14,251,3.82,315,3.26,299
43.85,3366,3.19,288,8.8,341,4.07,275,3.02,259
51.13,3955,2.45,302,7.91,281,3.19,288,2.84,254
47.91,3454,2.74,301,10.74,340,3.76,291,2.89,272
45.44,3427,2.57,301,9.76,333,3.16,289,2.3,259
45.58,3508,2.57,323,7.23,273,3.26,315,2.91,293
52.22,3775,3.18,281,7.5,261,3.82,267,3.18,251
54.94,3942,3.42,290,7.5,299,4.21,282,3.35,262
38.01,3034,2.36,341,8.41,284,3.17,325,2.77,289
42.64,3205,2.84,298,7.52,282,3.54,286,2.83,251
42.42,3080,2.93,370,8.31,282,4.13,356,3.34,314
49.16,3931,2.26,353,8.1,310,3.37,340,2.98,312
44.71,3561,2.65,307,8.41,300,3.74,298,3.27,266
51.22,3871,2.95,285,9.53,292,3.61,277,3.65,258
42.97,3387,2.84,293,8.59,261,3.48,285,3.53,264
41.75,3001,2.55,320,10.08,316,3.16,312,2.85,273
46.56,3389,2.63,316,10.42,314,3.65,302,2.79,287
46.3,3565,2.93,311,9.17,282,3.88,301,3.54,284
39.57,3105,3.08,327,7.83,289,3.73,320,2.85,298
48.0,3771,2.14,352,9.14,323,3.1,335,2.78,318
51.6,3821,3.05,349,7.79,292,3.91,333,3.32,311
44.07,3476,2.33,360,7.49,293,3.18,343,2.59,309
47.15,3702,2.85,344,7.75,278,4.0,327,3.39,299
42.86,3401,2.25,302,7.03,262,3.34,294,3.02,258
47.9,3729,3.12,332,6.95,261,4.32,321,3.44,283
46.36,3555,2.45,322,10.18,344,3.44,308,3.22,284
41.7,3161,2.69,280,9.1,295,3.4,269,2.89,250
43.42,3201,2.37,323,7.83,251,3.28,315,2.79,289
49.84,3957,2.74,364,8.73,284,3.13,348,3.05,313
50.1,3995,2.75,300,10.26,336,3.9,292,3.97,271
44.88,3269,3.31,354,10.29,330,4.21,344,3.47,309
52.87,3862,2.41,355,8.74,339,3.73,342,2.97,313
50.96,3815,2.56,299,6.84,257,3.54,288,3.24,260
43.9,3270,2.9,299,11.22,342,4.31,288,2.96,263
43.22,3455,2.91,342,8.41,275,3.86,334,3.89,309
48.23,3461,2.9,335,10.69,323,3.8,320,3.09,279
53.09,3726,2.91,329,9.69,339,3.7,320,2.57,284
43.38,3251,2.81,313,8.14,283,3.21,305,3.22,286
51.55,3701,2.91,303,6.68,256,3.89,289,3.29,254
44.73,3295,2.43,318,9.58,317,2.78,303,2.8,275
48.09,3724,2.67,372,8.04,307,3.9,355,3.29,311
48.17,3719,2.61,299,8.17,324,3.45,286,3.0,253
51.29,3748,2.84,331,9.0,278,4.18,318,3.36,291
44.24,3337,2.28,292,7.52,285,3.04,281,2.96,267
